r2,r2_adj,cond_number,bp_p,jb_p,n_studres_gt4,diagnostic_status,column_name,family,analysis_tier
0.2961436924185391,0.2838736490047976,2.7314356808900716e+38,6.559933571438355e-86,0.0,47,ok,demyelination_like__tbss__posterior_limb_of_internal_capsule_right,secondary_composite,secondary_composite
0.46150841021394895,0.45212110329712507,2.7314356808900716e+38,2.352445317156536e-184,0.0,62,ok,demyelination_like__wm__posterior_thalamic_radiation_left,secondary_composite,secondary_composite
0.49596018183263624,0.4871734587692045,2.7314356808900716e+38,7.929952316942089e-74,0.0,80,ok,demyelination_like__tbss__posterior_thalamic_radiation_left,secondary_composite,secondary_composite
0.45014493103477404,0.4405595291639691,2.7314356808900716e+38,2.7962395880521418e-126,0.0,78,ok,demyelination_like__tbss__posterior_thalamic_radiation_right,secondary_composite,secondary_composite
0.4177417835521072,0.40759151066704613,2.7314356808900716e+38,1.970652573800279e-284,0.0,77,ok,demyelination_like__wm__posterior_thalamic_radiation_right,secondary_composite,secondary_composite
0.25910120505019607,0.2461854148792445,2.7314356808900716e+38,1.381536127558846e-68,0.0,45,ok,demyelination_like__tbss__retrolenticular_part_of_internal_capsule,secondary_composite,secondary_composite
0.25910120505019607,0.2461854148792445,2.7314356808900716e+38,1.381536127558846e-68,0.0,45,ok,demyelination_like__tbss__retrolenticular_part_of_internal_capsule,secondary_composite,secondary_composite
0.31678661317598833,0.30487642948240856,2.7314356808900716e+38,1.3777107629006533e-61,0.0,46,ok,demyelination_like__tbss__sagittal_stratum_left,secondary_composite,secondary_composite
0.3128421775230077,0.3008632320719733,2.7314356808900716e+38,6.18332297451778e-86,0.0,46,ok,demyelination_like__tbss__sagittal_stratum_right,secondary_composite,secondary_composite
0.2679903403069853,0.2552295108493734,2.7314356808900716e+38,0.07951693261056877,0.0,93,ok,demyelination_like__tbss__splenium_of_corpus_callosum,secondary_composite,secondary_composite
0.25050789842575183,0.23744230460281368,2.7314356808900716e+38,0.0025539594139282777,0.0,54,ok,demyelination_like__tbss__superior_cerebellar_peduncle_left,secondary_composite,secondary_composite
0.2213748347367026,0.20780137595270698,2.7314356808900716e+38,4.167211591723685e-12,0.0,53,ok,demyelination_like__tbss__superior_cerebellar_peduncle_right,secondary_composite,secondary_composite
0.5123093915857189,0.5038076777085229,2.7314356808900716e+38,0.0,0.0,51,ok,demyelination_like__tbss__superior_corona_radiata_left,secondary_composite,secondary_composite
0.6656566684147579,0.6598281958281553,2.7314356808900716e+38,0.0,0.0,119,ok,demyelination_like__tbss__superior_fronto_occipital_fasciculus_lef,secondary_composite,secondary_composite
0.5150388416269794,0.5065847091526083,2.7314356808900716e+38,0.0,0.0,65,ok,demyelination_like__tbss__superior_corona_radiata_right,secondary_composite,secondary_composite
0.6237602517327804,0.6172014157949783,2.7314356808900716e+38,0.0,0.0,118,ok,demyelination_like__tbss__superior_fronto_occipital_fasciculus_rig,secondary_composite,secondary_composite
0.3863292377104741,0.3756313625704337,2.7314356808900716e+38,2.7563076358397058e-247,0.0,61,ok,demyelination_like__tbss__superior_longitudinal_fasciculus_left,secondary_composite,secondary_composite
0.3985675416122092,0.3880830118930557,2.7314356808900716e+38,1.6502242739710808e-156,0.0,50,ok,demyelination_like__wm__superior_longitudinal_fasciculus_left,secondary_composite,secondary_composite
0.38679071922108743,0.3761008889022823,2.7314356808900716e+38,1.1638426816146273e-212,0.0,56,ok,demyelination_like__tbss__superior_longitudinal_fasciculus_right,secondary_composite,secondary_composite
0.3788115217914261,0.36798259333879146,2.7314356808900716e+38,1.100091148730169e-180,0.0,49,ok,demyelination_like__wm__superior_longitudinal_fasciculus_right,secondary_composite,secondary_composite
0.4550663879542375,0.4455667798589663,2.7314356808900716e+38,1.2038053864553072e-111,0.0,48,ok,demyelination_like__wm__superior_thalamic_radiation_right,secondary_composite,secondary_composite
0.41691745106599476,0.4067528079248416,2.7314356808900716e+38,1.0536480207360631e-51,0.0,47,ok,demyelination_like__wm__superior_thalamic_radiation_left,secondary_composite,secondary_composite
0.3024326104458622,0.2902721992061732,2.7314356808900716e+38,2.7695508488543028e-104,0.0,53,ok,demyelination_like__tbss__tapetum_left,secondary_composite,secondary_composite
0.3977723092894948,0.3872739166056728,2.7314356808900716e+38,8.752759898446764e-245,0.0,37,ok,demyelination_like__tbss__tapetum_right,secondary_composite,secondary_composite
0.24323014181949454,0.23003767779797812,2.7314356808900716e+38,1.0744116028580905e-19,0.0,54,ok,demyelination_like__tbss__uncinate_fasciculus_left,secondary_composite,secondary_composite
0.2763118197850448,0.2636960553263006,2.7314356808900716e+38,0.9999999999998185,0.0,63,ok,demyelination_like__wm__uncinate_fasciculus_left,secondary_composite,secondary_composite
0.19162854538701957,0.17753653152610416,2.7314356808900716e+38,1.0,0.0,55,ok,demyelination_like__tbss__uncinate_fasciculus_right,secondary_composite,secondary_composite
0.2728837538080596,0.2602082292563679,2.7314356808900716e+38,5.209947632340263e-30,0.0,48,ok,demyelination_like__wm__uncinate_fasciculus_right,secondary_composite,secondary_composite
0.14119188523582882,0.1262206294003324,2.7314356808900716e+38,1.0151012832951739e-07,0.0,60,ok,free_water_like__wm__acoustic_radiation_right,secondary_composite,secondary_composite
